source_width_px,source_height_px,id,category,points_px,style,confidence,notes
1093,747,R1,ridge,"316 169;296 300",solid,high,"Visible west-roof ridge"
1093,747,R2,ridge,"296 300;527 353",solid,high,"Visible central ridge"
1093,747,R3,ridge,"475 188;626 242",dashed,medium,"Visible cap/edge but ridge-versus-step is not fully resolvable"
1093,747,R4,ridge,"438 407;414 568",solid,high,"Visible southwest-roof ridge"
1093,747,R5,ridge,"541 438;625 439",solid,high,"Visible lower-right roof ridge"
1093,747,R6,ridge,"512 560;497 644",solid,high,"Front gabled-portico ridge"
1093,747,H1,hip,"316 169;425 94",solid,high,"Visible"
1093,747,H2,hip,"296 300;402 235",solid,high,"Visible"
1093,747,H3,hip,"296 300;231 334",solid,high,"Visible"
1093,747,H4,hip,"527 353;610 377",solid,high,"Visible"
1093,747,H5,hip,"527 353;438 407",solid,high,"Visible"
1093,747,H6,hip,"626 242;744 143",solid,high,"Visible"
1093,747,H7,hip,"626 242;610 377",solid,high,"Visible beside roof fixtures"
1093,747,H8,hip,"438 407;405 438",solid,medium,"Short hip partly hidden by lower awning"
1093,747,H9,hip,"414 568;361 599",solid,high,"Visible"
1093,747,H10,hip,"414 568;469 580",solid,high,"Visible"
1093,747,H11,hip,"541 438;610 377",solid,high,"Visible"
1093,747,H12,hip,"541 438;414 568",solid,high,"Visible"
1093,747,H13,hip,"625 439;695 386",solid,high,"Visible"
1093,747,H14,hip,"625 439;669 494",solid,high,"Visible"
1093,747,H15,hip,"316 169;266 76",dashed,low-medium,"Foliage-obscured continuation"
1093,747,H16,hip,"475 188;425 94",dashed,low-medium,"Washed-out/partly occluded continuation"
1093,747,H17,hip,"475 188;402 235",dashed,low-medium,"Dormer/notch obscures the continuation"
1093,747,V1,valley_box_gutter,"425 94;402 235",solid,high,"Strong dark concave seam"
1093,747,V2,valley,"527 353;541 438",dashed,medium,"Visible inter-roof seam; valley classification is moderately confident"
1093,747,J1,unresolved_junction,"626 242;527 353",dashed,low,"Visible seam; convex-versus-concave type cannot be confirmed from this view"
1093,747,E1,eave_gutter_edge,"425 94;744 143;713 372;610 377",solid,high,"Visible upper/rear and east edge chain"
1093,747,E2,eave_gutter_edge,"231 334;250 382;438 407",solid,high,"Visible left-middle chain"
1093,747,E3,eave_gutter_edge,"610 377;695 386;669 494;621 489",solid,high,"Visible mid-right chain"
1093,747,E4,eave_gutter_edge,"405 438;361 599;469 617",solid,high,"Visible lower-left chain; portico overlaps endpoint"
1093,747,E5,eave_gutter_edge,"621 492;671 501;637 649;548 632;552 594;610 604;621 492",solid,high,"Attached right/bottom L-awning perimeter"
1093,747,E6,eave_gutter_edge,"469 579;462 642",solid,high,"Front portico left eave"
1093,747,E7,eave_gutter_edge,"548 584;532 650",solid,high,"Front portico right eave"
1093,747,E8,eave_gutter_edge,"218 399;420 430",solid,medium,"Attached west-verandah outer eave; first portion is shadowed"
1093,747,E9,eave_gutter_edge,"266 76;425 94",dashed,medium,"Partly foliage/chimney obscured"
1093,747,E10,eave_gutter_edge,"266 76;231 334",dashed,low,"Heavily foliage-obscured west edge"
1093,747,E11,eave_gutter_edge,"469 617;462 642",dashed,medium,"Portico overlap"
1093,747,E12,eave_gutter_edge,"552 598;548 632",dashed,medium,"Awning overlap"
1093,747,P1,rake_reference,"469 579;512 560;548 584",dotted,medium,"Rear portico rake/junction; shown gray, not classified as hip"
1093,747,P2,rake_reference,"462 642;497 644;532 650",dotted,high,"Front gable rakes; shown gray, not classified as hip"
