rule_key,rule_group,page,modality,applicability,confidence,mvp_tier,required_shots,dup_count,check_method,rule_text
aframe-dims,banner,46,should,needs_scale_reference,medium,phase2_measure,na,1,"Compare the A-frame panel size/aspect to spec; aspect (~1.5:1 height:width) checkable from the rectangle, absolute size needs a scale reference.","The A-frame signage is 60cm x 90cm (23.6"" x 35.4"")."
large-teardrop-banner-dims,banner,45,should,needs_scale_reference,medium,phase2_measure,na,1,"Compare the banner's overall dimensions and aspect ratio to spec; absolute size needs a scale reference, though the ~4.4:1 aspect ratio is checkable from the silhouette alone.","The large teardrop banner is 307.5cm x 100cm (121"" x 27.5"")."
small-teardrop-banner-dims,banner,45,should,needs_scale_reference,medium,phase2_measure,na,1,"Compare overall size/aspect to spec; absolute dimensions need a scale reference, aspect (~2.06:1 height:width) checkable from silhouette.","The small teardrop banner is 86.3cm x 177.8cm (34"" x 70"")."
aframe-internal-directional-use,banner,46,optional,auto_vision,low,human_queue,na,1,"Permissive option; vision can confirm an A-frame being used as a directional sign indoors, but no compliance failure attaches to non-use.",A-frames may also be used as internal directional signs to direct customers within a building.
banners-supplied-equipment-pack,banner,45,process,needs_metadata_or_context,low,human_queue_metadata,na,1,Provenance/availability statement; not a photo-checkable constraint on the installed banner.,Banners are created and provided in the equipment pack; alternative artwork is also available in Canva.
pull-up-banner-presence,banner,42,optional,needs_metadata_or_context,low,human_queue_metadata,na,1,The pull-up banner page presents the asset without explicit dimensions or placement constraints in text; only artwork conformance is implied.,A pull-up banner is provided as an additional signage and branding option.
best-workout-decal-optional,decal,18,optional,auto_vision,high,mvp_core,workout_walls,1,Detect presence/absence of the 'Best Workout' decal; absence is acceptable since it is optional.,The 'Best Workout' logo is an optional wall decal that may be installed if the training area allows.
google-review-cling-placement-visibility,decal,43,should,auto_vision,medium,mvp_core,workout_walls,1,"Detect the Google Review cling/sticker on a window in a customer-accessible, visible location near the entrance.",The Studio Window Google Review cling should be placed per the placement recommendation for easy visibility and access (on the studio window).
invest-in-yourself-decal-present,decal,19,must,auto_vision,low,mvp_core,workout_walls,1,Detect an 'Invest In Yourself' text decal on an internal wall via OCR.,The 'Invest In Yourself' decal is a specified internal decal (shown with the Team Training and Worlds Best decals on the page 19 spec diagram).
main-door-decal-present,decal,20,must,auto_vision,medium,mvp_core,workout_walls,1,Detect the F45 door decal applied to the main glass entrance door. Confirm a decal (logo/copy) is present on the door leaf.,A main door decal must be installed on the entrance door as part of the external master logo options.
team-training-decal-feature-wall-workout,decal,17,must,auto_vision,high,mvp_core,workout_walls,4,Detect a 'Team Training' text decal on a workout-area feature wall via OCR/logo match.,The 'Team Training' wall decal must be installed on a feature wall in the workout area.
best-workout-decal-24in-if-ceiling-ge-12ft,decal,18,must,needs_scale_reference,high,phase2_measure,workout_walls,2,"Determine ceiling height via reference; if >=12ft, measure ground-to-decal-base ~24in via a known reference.","If installed, the 'Best Workout' decal must be installed 24 inches (60cm) from the ground to the base of the decal if the ceiling height is 12 feet or more."
best-workout-decal-lettering-consistent-with-team-training,decal,18,must,needs_scale_reference,medium,phase2_measure,workout_walls,1,"Compare absolute lettering heights of the two decals; because they are usually on different walls/photos, a common scale reference is needed to compare true sizes.",The lettering size of the 'Best Workout' decal must be consistent with the lettering size of the 'Team Training' wall decal.
retail-slogan-centered-above-rack-10ft,decal,17,must,needs_scale_reference,high,phase2_measure,workout_walls,2,Confirm the slogan is centered above the retail rack and measure ~10ft to its base via a known reference; presence/centering is auto_vision but the 10ft height needs scale.,The retail slogan must be installed centered above the retail rack at approximately 10 feet from the floor to the base of the logo (consult Onboarding Specialist if low ceiling requires adjustment).
team-training-decal-10ft-reference,decal,19,must,needs_scale_reference,low,phase2_measure,workout_walls,1,Measure decal height to ~10ft via a known reference where the diagram applies; needs scale.,"Per the page 19 specification diagram, certain internal decals reference a 10-foot installation dimension (consistent with the retail slogan ~10ft placement)."
worlds-best-decal-24in,decal,19,must,needs_scale_reference,low,phase2_measure,workout_walls,1,"Detect the 'Worlds Best' decal and measure ~24in floor-to-base via a known reference; presence is auto_vision, the 24in height needs scale.",The 'Worlds Best' decal (including the 'Worlds Best - Solid' variant) is installed at a 24-inch base height per the page 19 specification diagram.
best-workout-decal-dedicated-wall-facing-workout,decal,18,must,auto_vision,medium,human_queue,workout_walls,1,"If a 'Best Workout' decal is present, confirm it occupies a dedicated feature wall oriented toward the workout floor.","If installed, the 'Best Workout' wall decal must be on a dedicated feature wall facing the workout area."
best-workout-decal-not-replace-logo-or-team-training,decal,18,must,auto_vision,medium,human_queue,workout_walls,1,"Confirm that, where a 'Best Workout' decal exists, the internal wall logo and the 'Team Training' decal are also still present (not replaced).",The 'Best Workout' decal must not take the place of the internal wall logo or the 'Team Training' wall decal.
team-training-decal-white,decal,17,must,auto_vision,high,human_queue,workout_walls,1,Confirm the decal lettering is white.,The 'Team Training' wall decal must be white in color.
do-not-install-legacy-internal-signage,decal,5,must,needs_metadata_or_context,medium,human_queue_metadata,workout_walls,1,Detecting a legacy decal requires a reference catalogue of legacy-vs-current designs to compare against the photographed wall; without that reference the model cannot distinguish legacy from current.,"If the equipment pack includes legacy F45 internal signage designs, the franchisee must not install that legacy internal signage in the studio because it is no longer compliant (it may be disposed of at the franchisee's discretion; no refunds/credits for prior internal signage decals)."
logo-lockup-on-glass-present,external-logo,20,must,auto_vision,medium,mvp_core,storefront,1,Detect presence of the F45 logo lockup applied to a glass storefront panel/window. Confirm the lockup (logo + associated elements) is present on glass.,A logo lockup must be applied on the glass as part of the external master logo options (logo lockup on glass).
master-logo-white-on-blue-required,external-logo,20,must,auto_vision,high,phase2_ref,storefront,1,Detect the F45 master logo on the storefront and classify the logo glyph colour (white) against the background colour family (dark/navy blue). Verify the high-contrast white-on-blue pairing is present rather than the blue-on-light alternative.,The external master logo must use the white F45 logo on a dark blue background; this is the REQUIRED master logo option.
logo-not-printed-on-white-backing,external-logo,20,must,auto_vision,medium,human_queue,storefront,1,Inspect the logo-on-glass and door decal for an opaque white panel/box behind the artwork. Flag if a solid white rectangular backing is visible around the logo on the glass.,The logo lockup on glass and door decal are not to be printed on a white backing.
main-logo-not-white-backing,external-logo,20,must,auto_vision,medium,human_queue,storefront,1,Inspect the glass logo lockup; confirm there is no solid white rectangular backing block behind the logo (it should sit directly on glass with agreed opacity).,External master logo / main door decal logo lockups on glass are not to be printed on a white backing; opacity is to be agreed in production.
master-logo-blue-on-light-fallback-only,external-logo,20,optional,needs_metadata_or_context,high,human_queue_metadata,storefront,1,"A photo can confirm the blue-on-light variant is the one installed, but determining whether it is permissible requires confirming that a blue backer was genuinely not possible at this site — context not present in the image.",The blue F45 logo on a light background may be used only as a fallback when a blue backer is not possible.
master-logo-hot-location-fade-note,external-logo,20,should,needs_metadata_or_context,medium,human_queue_metadata,storefront,1,"This is advisory rationale, not a testable visual constraint; verifying it would require knowing the studio's climate/location, which is not in the photo.",The white-on-blue logo option is often utilized in hotter locations to avoid long-term fading.
frp-chin-up-bar-wall-encouraged,frp-panel,15,should,auto_vision,medium,human_queue,workout_walls,1,Check for FRP paneling on the chin-up bar wall lower band; recommended not mandatory.,Installing the FRP along the chin-up bar wall as well is strongly encouraged.
frp-supplier-hjc,frp-panel,15,must,needs_metadata_or_context,high,human_queue_metadata,workout_walls,1,Supplier identity needs purchase/spec documentation; the pebbled texture and peppercorn (dark) color could be loosely inferred from a close-up but not the supplier.,"The mandatory FRP material must be sourced from supplier Haines, Jones & Cadbury LLC (hjcinc.com), in the Pebbled (Peppercorn) finish/color."
wall-logo-no-obstruction,internal-logo,12,must,auto_vision,high,mvp_core,logo_wall,1,"Check whether equipment, fixtures, racks, or other objects overlap or sit in front of the logo feature wall.",The F45 Training Logo Wall may not be obstructed by any equipment or any other encumbrance.
wall-logo-required,internal-logo,12,must,auto_vision,high,mvp_core,logo_wall,1,Detect presence of the F45 Training logo on the main interior feature wall in the photo.,Every F45 Training studio must feature an internal wall logo (Wall Logo) on the main interior wall.
wall-logo-center-height-68in,internal-logo,12,must,needs_scale_reference,high,phase2_measure,logo_wall,1,Locate floor line and logo vertical center in the photo; convert pixel distance to inches via a known reference object; compare to 68in.,The F45 Training Wall Logo must be installed 68 inches from the floor to the center of the logo.
wall-logo-min-width-100in,internal-logo,12,must,needs_scale_reference,high,phase2_measure,logo_wall,1,"Measure the logo's pixel width and convert to inches using a known reference in the frame (door height ~80in, standard ceiling, or a placed scale); compare to 100in.",The Wall Logo must be a minimum of 100 inches wide.
wall-logo-backlit-led,internal-logo,13,must,auto_vision,medium,human_queue,logo_wall,1,"Look for halo/edge glow, illuminated channel-letter effect, or visible backlight behind the logo; distinguish from a flat printed/vinyl decal.",The internal F45 Training Wall Logo must be an LED backlit logo.
wall-logo-larger-case-by-case,internal-logo,12,optional,needs_metadata_or_context,medium,human_queue_metadata,logo_wall,1,Requires HQ case-by-case approval record; a photo alone cannot confirm authorization for an oversized logo.,Wall Logos larger than the 100-inch minimum may be approved by F45 on a case-by-case basis.
lightbox-option1-frame-box-hanging,lightbox,44,optional,auto_vision,low,human_queue,na,1,Identify a hanging/side-mounted frame box lightbox if present; confirm it matches the Option 1 mount style.,Lightbox sign Option 1 is a frame box insert with hanging top and side mount (CAD drawings pending).
lightbox-option2-wall-mounted,lightbox,44,optional,auto_vision,low,human_queue,na,1,Identify a wall-mounted lightbox if present; confirm it is flush wall-mounted per Option 2.,Lightbox sign Option 2 is a wall-mounted light box (CAD drawings pending).
workout-wall-stacking-order,paint,15,must,auto_vision,high,mvp_core,logo_wall;workout_walls,1,"Vision model verifies the three horizontal bands appear in the correct bottom-to-top order (dark gray, red, light gray).","Workout/back-of-studio walls must follow the vertical stack order: dark gray (floor to 28""), then a 1.5"" red stripe, then light gray to the ceiling."
red-stripe-zone-application,paint,9,must,auto_vision,high,phase2_ref,logo_wall;workout_walls,1,"Vision model detects presence of a horizontal red stripe on the front and back training-area walls; relative thinness of the stripe is checkable, exact 1.5"" width is not from an uncalibrated photo.","The compliant red paint is used for the 1.5"" stripe painted along the front and back walls of the training area."
v-design-paints-only,paint,"9, 13",must,auto_vision,high,phase2_ref,logo_wall;workout_walls,1,Vision model confirms the V design uses two distinct gray tones (a darker upper and lighter lower) against the light gray wall.,The paint codes labelled 'Compliant Paints for V Design Only' apply specifically to the painted V design and must use the specified colors.
